PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Mercer County Park,Shorts Layout,2021-05-30 15:53,55,,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
Slava,Mercer County Park,Shorts Layout,2021-05-30 15:53,70,15,4,5,4,3,5,4,4,3,4,5,3,4,4,3,4,4,3,4
