PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Wolf Hill,Normal Course,2021-08-29 09:54,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
Dima,Wolf Hill,Normal Course,2021-08-29 09:54,58,3,3,3,2,5,4,4,3,4,3,3,5,3,3,3,1,4,2,3
Tim,Wolf Hill,Normal Course,2021-08-29 09:54,49,-6,3,3,2,3,3,3,3,3,2,2,3,3,2,2,2,4,3,3
Paul S,Wolf Hill,Normal Course,2021-08-29 09:54,59,4,3,3,3,4,4,3,3,3,4,3,4,4,3,2,2,4,3,4
DimKa,Wolf Hill,Normal Course,2021-08-29 09:54,67,12,4,4,3,3,5,3,4,4,4,4,4,4,3,3,4,5,3,3
Michael G,Wolf Hill,Normal Course,2021-08-29 09:54,71,16,4,3,3,4,5,4,4,5,4,4,4,4,3,3,4,6,3,4
Slava,Wolf Hill,Normal Course,2021-08-29 09:54,61,6,5,3,3,3,4,3,3,4,4,3,4,3,3,2,3,5,3,3
