PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Thompson Park,Blue Tees,2021-06-12 09:18,64,,3,4,4,3,3,4,4,4,3,3,5,3,4,3,4,3,3,4
Dima,Thompson Park,Blue Tees,2021-06-12 09:18,67,3,4,5,4,3,3,4,4,4,3,3,5,3,5,4,4,3,3,3
Paul S,Thompson Park,Blue Tees,2021-06-12 09:18,68,4,3,4,4,4,3,4,4,4,4,3,5,3,5,3,6,3,3,3
Slava,Thompson Park,Blue Tees,2021-06-12 09:18,81,17,3,6,5,4,3,5,5,5,4,3,6,4,5,4,6,4,3,6
